"noodle_make_id";"noodle_make_name";"noodle_make_price";"noodle_make_where";"noodle_make_where1";"active"
113000000;"หมี่ขาว";0.0;"noodle";"";"1"
113000001;"เส้นเล็ก";0.0;"noodle";"";"1"
113000002;"เส้นใหญ่";0.0;"noodle";"";"1"
113000003;"บะหมี่";0.0;"noodle";"";"1"
113000004;"แห้ง";0.0;"water";"";"1"
113000005;"น้ำ";0.0;"water";"";"1"
113000006;"ต้มยำ";0.0;"water";"";"1"
113000007;"เย็นตาโฟ";0.0;"water";"";"1"
113000008;"ผัก";0.0;"option_noodle";"";"1"
113000009;"กระเทียม";0.0;"option_noodle";"";"1"
113000010;"เผ็ด";0.0;"option_noodle";"";"1"
113000011;"ลูกชิ้นปลา";5.0;"noodle_meat_ball";"";"1"
113000012;"ลูกชิ้นกุ้งทอด";10.0;"noodle_meat_ball";"";"1"
113000013;"เกี้ยวปลา";8.0;"noodle_meat_ball";"";"1"
113000014;"เนื้อปลา";10.0;"noodle_sea";"";"1"
113000015;"กุ้ง";10.0;"noodle_sea";"";"1"
113000016;"ปลาหมึก";8.0;"noodle_sea";"";"1"
113000017;"หมูแดง";30.0;"noodle_meat";"";"1"
113000018;"หมูกรอบ";30.0;"noodle_meat";"";"1"
113000019;"เป็ดย่าง";30.0;"noodle_meat";"";"1"
113000020;"ผักบุ้ง";0.0;"noodle_vagetable";"";"1"
113000021;"ถั่วงอก";0.0;"noodle_vagetable";"";"1"
113000022;"ต้นหอม";0.0;"noodle_vagetable";"";"1"
